,Unnamed: 0,Rank,Data ID,DOI,Title,Description,Repository,Publication date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Sustainable Development Goals
10966,10966,100,dataset.10518765,10.17182/hepdata.63898.v1/t20,"""Table 20"" of ""Measurement of the Prompt $J/\psi$ and $\psi$(2S) Polarizations in $pp$ Collisions at $\sqrt{s}$ = 7 TeV""",Lambda-Phi in the PX frame for the J/psi as a function of pT for 0.6 < |y| < 1.2.,HEPData,1/1/2014,2014,,pub.1032532023,https://app.dimensions.ai/details/data_set/dataset.10518765,https://www.hepdata.net/record/63938,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
3531,3531,100,dataset.18771856,10.17182/hepdata.88294.v1/t4,"""Table 2c"" of ""Measurement of quark- and gluon-like jet fractions using jet charge in PbPb and pp collisions at 5.02 TeV""",The standard deviation of the jet charge distributions with different track $p_{T}$ thresholds and $\kappa$ value pf 0.7 for pp collisions and in the various event centrality bins for PbPb collisions compared with the PYTHIA6 prediction.,HEPData,1/1/2020,2020,,pub.1129497144,https://app.dimensions.ai/details/data_set/dataset.18771856,https://www.hepdata.net/record/97376,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
419,419,100,dataset.58258641,10.17182/hepdata.113657.v3/t26,"""Figure 11d"" of ""Measurement of the inclusive and differential t$ \overline{t} $γ cross sections in the dilepton channel and effective field theory interpretation in proton-proton collisions at $ \sqrt{s} $ = 13 TeV""",Normalized differential $tt\gamma$ production cross section as a function of $p_{T}(\ell_{1})+p_{T}(\ell_{2})$ . The values provided in the table are not divided by the bin width.,HEPData,1/1/2022,2022,,pub.1147963256,https://app.dimensions.ai/details/data_set/dataset.58258641,https://www.hepdata.net/record/129649,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
7081,7081,100,dataset.10556877,10.17182/hepdata.80168.v1/t16,"""Table 16"" of ""Measurement of charged pion, kaon, and proton production in proton-proton collisions at $\sqrt{s}=13$ TeV""","Measured transverse momentum distributions of identified charged hadrons (PI-, K- and PBAR) at a centre-of-mass energy of 13 TeV for multiplicity class 7 (Nrec=60-69).",HEPData,1/1/2018,2018,,pub.1099613675,https://app.dimensions.ai/details/data_set/dataset.10556877,https://www.hepdata.net/record/82352,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
3071,3071,100,dataset.24938737,10.17182/hepdata.81686.v1/t28,"""Table 28"" of ""Measurement of normalized differential $ \mathrm{t}\overline{\mathrm{t}} $ cross sections in the dilepton channel from pp collisions at $ \sqrt{s}=13 $ TeV""",Normalized differential ttbar cross sections with statistical and systematic uncertainties at the parton level as a function of dphi(ttbar) of the top quark and antiquark.,HEPData,1/1/2021,2021,,pub.1103766342,https://app.dimensions.ai/details/data_set/dataset.24938737,https://www.hepdata.net/record/102972,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1930,1930,100,dataset.57711549,10.17182/hepdata.106115.v1/t9,"""Yields (Mono-V (high purity))"" of ""Search for new particles in events with energetic jets and large missing transverse momentum in proton-proton collisions at $\sqrt{s} = $ 13 TeV""","Background and data yields in the control and signal region bins. The prediction before (""prefit"") and after the background only fit (""b-only"") are given separately.",HEPData,1/1/2021,2021,,pub.1142736760,https://app.dimensions.ai/details/data_set/dataset.57711549,https://www.hepdata.net/record/111078,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
12222,12222,100,dataset.10525045,10.17182/hepdata.57722.v1/t15,"""Table 15"" of ""Upsilon Production Cross-Section in pp Collisions at $\sqrt{s}$=7 TeV""",UPSI differential cross sections for 1< |y| < 2.,HEPData,1/1/2011,2011,,pub.1047477845,https://app.dimensions.ai/details/data_set/dataset.10525045,https://www.hepdata.net/record/57733,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
5283,5283,100,dataset.10562387,10.17182/hepdata.88043.v1/t2,"""Table 2"" of ""Measurement of the differential Drell-Yan cross section in proton-proton collisions at $ \sqrt{\mathrm{s}} $ = 13 TeV""","Summary of the systematic uncertainties (%) for the $ d\sigma / d{m}$ (pb/GeV) measurement in the dielectron channel. The column labelled ""Total"" corresponds to the quadratic sum of all the experimental sources, except for that Acceptance+PDF.",HEPData,1/1/2019,2019,,pub.1123312433,https://app.dimensions.ai/details/data_set/dataset.10562387,https://www.hepdata.net/record/91749,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,Clinical Research,,,,,,,
6717,6717,100,dataset.10564890,10.17182/hepdata.80816.v1/t3,"""Table 3"" of ""Measurement of prompt and nonprompt charmonium suppression in PbPb collisions at 5.02 TeV""","Differential cross section of prompt J/psi mesons as a function of dimuon pT in pp and PbPb collisions. The PbPb cross sections are normalised by TAA for direct comparison. Global uncertainties arise from the integrated luminosity uncertainty in pp collisions, and the number of minimum bias events and TAA uncertainties for PbPb collisions.",HEPData,1/1/2018,2018,,pub.1104985334,https://app.dimensions.ai/details/data_set/dataset.10564890,https://www.hepdata.net/record/83748,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
6546,6546,100,dataset.10569762,10.17182/hepdata.82637.v1/t5,"""Table 5"" of ""Constraints on the chiral magnetic effect using charge-dependent azimuthal correlations in pPb and PbPb collisions at the LHC""",Three-particle correlation with respect to the 3rd order event plane from p-going side in pPb collisions.,HEPData,1/1/2018,2018,,pub.1103614862,https://app.dimensions.ai/details/data_set/dataset.10569762,https://www.hepdata.net/record/82725,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
4354,4354,100,dataset.7710299,10.6084/m9.figshare.7936460.v1,"Additional file 3: of Molecular evolutionary trends and feeding ecology diversification in the Hemiptera, anchored by the milkweed bug genome",Chemoreceptor sequences in FASTA format. (FASTA 128 kb),Springer Nature,4/2/2019,2019,Kristen Panfilio; Iris Vargas Jentzsch; Joshua Benoit; Deniz Erezyilmaz; Yuichiro Suzuki; Stefano Colella; Hugh Robertson; Monica Poelchau; Robert Waterhouse; Panagiotis Ioannidis; Matthew Weirauch; Daniel Hughes; Shwetha Murali; John Werren; Chris Jacobs; Elizabeth Duncan; David Armisén; Barbara Vreede; Patrice Baa-Puyoulet; Chloé Berger; Chun-che Chang; Hsu Chao; Mei-Ju Chen; Yen-Ta Chen; Christopher Childers; Ariel Chipman; Andrew Cridge; Antonin Crumière; Peter Dearden; Elise Didion; Huyen Dinh; Harsha Doddapaneni; Amanda Dolan; Shannon Dugan; Cassandra Extavour; Gérard Febvay; Markus Friedrich; Neta Ginzburg; Yi Han; Peter Heger; Christopher Holmes; Thorsten Horn; Yi-min Hsiao; Emily Jennings; J. Johnston; Tamsin Jones; Jeffery Jones; Abderrahman Khila; Stefan Koelzer; Viera Kovacova; Megan Leask; Sandra Lee; Chien-Yueh Lee; Mackenzie Lovegrove; Hsiao-ling Lu; Yong Lu; Patricia Moore; Monica Munoz-Torres; Donna Muzny; Subba Palli; Nicolas Parisot; Leslie Pick; Megan Porter; Jiaxin Qu; Peter Refki; Rose Richter; Rolando Rivera-Pomar; Andrew Rosendale; Siegfried Roth; Lena Sachs; M. Santos; Jan Seibert; Essia Sghaier; Jayendra Shukla; Richard Stancliffe; Olivia Tidswell; Lucila Traverso; Maurijn Zee; Séverine Viala; Kim Worley; Evgeny Zdobnov; Richard Gibbs; Stephen Richards,pub.1113175651,https://app.dimensions.ai/details/data_set/dataset.7710299,https://springernature.figshare.com/articles/dataset/Additional_file_3_of_Molecular_evolutionary_trends_and_feeding_ecology_diversification_in_the_Hemiptera_anchored_by_the_milkweed_bug_genome/7936460,31 Biological Sciences; 31 Biological Sciences; 3104 Evolutionary Biology; 3105 Genetics,,,,,,,,
13605,13605,100,dataset.653045,10.5517/cc44vz2,CCDC 123844: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/1997,1997,"Kende, A.S.; Journet, M.; Ball, R.G.; Tsou, N.N.",pub.1004779749,https://app.dimensions.ai/details/data_set/dataset.653045,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cc44vz2&sid=DataCite,,,,,,,,,
8267,8267,100,dataset.10545893,10.17182/hepdata.76554.v1/t107,"""Table 107"" of ""Measurement of differential cross sections for top quark pair production using the lepton+jets final state in proton-proton collisions at 13 TeV""",Absolute cross section at parton level.,HEPData,1/1/2017,2017,,pub.1085109590,https://app.dimensions.ai/details/data_set/dataset.10545893,https://www.hepdata.net/record/76666,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10516,10516,100,dataset.8536297,10.1021/om500660n.s002,"Exploring Oxidation of Half-Sandwich Rhodium Complexes:
Oxygen Atom Insertion into the Rhodium–Carbon Bond of κ<sup>2</sup>‑Coordinated 2‑Phenylpyridine","The reactions of oxygen atom transfer
reagents with Rh­(Cp*) complexes,
each with a bidentate ligand and an accessible coordination site,
are described (Cp* = η5-penta­methyl­cyclo­pentadienyl).
When [Rh­(Cp*)­(phpy)­(NCArF)]­[B­(ArF)4] (1, phpy = 2-phenylene-κC1′-pyridine-κN, NCArF = 3,5-bis­(trifluoro­methyl)­benzonitrile,
B­(ArF)4 = tetrakis­[3,5-bis­(trifluoro­methyl)­phenyl]­borate)
was treated with the soluble oxygen atom transfer reagent 2-tert-butyl­sulfonyl­iodosyl­benzene (sPhIO),
oxygen atom insertion into the rhodium–carbon bond of coordinated
phpy was observed. This resulted in the formation of a κ2 2-(2-pyridyl)­phenoxide ligand. Following insertion to form
a new bidentate ligand, a second equivalent of sPhIO, acting as a
neutral, two-electron donor ligand, coordinated to the rhodium center
through the iodosyl oxygen. Over time, the sPhIO ligand dissociates
and dimerization occurs to generate a phenoxide-bridged dinuclear
species. The 2-(2-pyridyl)­phenoxide ligand could be protonated
and cleaved from the mononuclear rhodium-(sPhIO) adduct by treating
with a carboxylic acid (pivalic acid) at room temperature. In addition,
when rhodium complex 1 was treated with excess phpy (14
equiv), hydrogen peroxide, and acetic acid, 5 equiv of 2-(2-pyridyl)­phenol
formed. Deactivation of the organometallic species, probably due to
oxidative degradation of Cp*, severely limited this catalysis.",American Chemical Society,9/8/2014,2014,"Christopher
R. Turlington; James Morris; Peter S. White; William W. Brennessel; William D. Jones; Maurice Brookhart; Joseph L. Templeton",pub.1056279820,https://app.dimensions.ai/details/data_set/dataset.8536297,https://acs.figshare.com/articles/dataset/Exploring_Oxidation_of_Half_Sandwich_Rhodium_Complexes_Oxygen_Atom_Insertion_into_the_Rhodium_Carbon_Bond_of_sup_2_sup_Coordinated_2_Phenylpyridine/2257057,34 Chemical Sciences; 34 Chemical Sciences; 3402 Inorganic Chemistry,,,,,,,,
9627,9627,100,dataset.8921350,10.1371/journal.pone.0126625.t002,Relative differences in importance between objectives at lowest level of hierarchy.<sup>*</sup>,"*Relative difference is calculated as ratio of global priority scores shown in Table 1 (e.g., relative difference for minimizing severe hypoglycemia versus minimizing fracture risk is 14.0/2.57 = 5.45)Relative differences in importance between objectives at lowest level of hierarchy.*",Public Library of Science,5/22/2015,2015,Nisa M. Maruthur; Susan M. Joy; James G. Dolan; Hasan M. Shihab; Sonal Singh,pub.1001769078,https://app.dimensions.ai/details/data_set/dataset.8921350,https://plos.figshare.com/articles/dataset/_Relative_differences_in_importance_between_objectives_at_lowest_level_of_hierarchy_/1424043,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences; 44 Human Society,Prevention,,,,,,,
1868,1868,100,dataset.57762357,10.17182/hepdata.99690.v1/t5,"""Figure 2 5-Jet bHbH"" of ""A search for bottom-type, vector-like quark pair production in a fully hadronic final state in proton-proton collisions at $\sqrt{s} =$ 13 TeV""","Reconstructed VLQ mass distributions for simulated signal events with a generated VLQ mass $m_{B} = 1200\GeV$. A moderate requirement of $\chi^{2}$/ndf < 2$ is applied to the events. Mass distributions for 4-jet (left), 5-jet (center), and 6-jet (right) events are shown for the three decay modes: bHbH (upper row), bHbZ (middle row), and bZbZ (lower row).",HEPData,1/1/2021,2021,,pub.1133315744,https://app.dimensions.ai/details/data_set/dataset.57762357,https://www.hepdata.net/record/100368,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
5892,5892,100,dataset.10553249,10.17182/hepdata.88396.v1/t8,"""8. Figure 5 (top left)"" of ""Search for supersymmetry in events with a photon, jets, $\mathrm {b}$ -jets, and missing transverse momentum in proton–proton collisions at 13 $\,\text {Te}\text {V}$""",Gluino - neutralino mass points lying on the expected $+1\sigma_{exp}$ exclusion contour of T5qqqqHG model.,HEPData,1/1/2019,2019,,pub.1115678419,https://app.dimensions.ai/details/data_set/dataset.10553249,https://www.hepdata.net/record/90660,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
13062,13062,100,dataset.9021022,10.1371/journal.pone.0004425.t001,Hypothetical mutations and their effects.,"This table outlines the different mutations examined in our study, groups them according to their effect on Wolbachia and their sex-specificity, specifies how these effects could be implemented by hosts, and suggests mechanistic pathways through which these implementations could be achieved.",Public Library of Science,2/11/2009,2009,Arnulf Koehncke; Arndt Telschow; John H. Werren; Peter Hammerstein,pub.1029843638,https://app.dimensions.ai/details/data_set/dataset.9021022,https://plos.figshare.com/articles/dataset/_Hypothetical_mutations_and_their_effects_/579715,31 Biological Sciences; 31 Biological Sciences; 3102 Bioinformatics and Computational Biology,Genetics,Generic health relevance,,,,,,
5558,5558,100,dataset.10556841,10.17182/hepdata.84716.v2/t129,"""cov n3_b1 all"" of ""Measurement of jet substructure observables in $\mathrm{t\overline{t}}$ events from proton-proton collisions at $\sqrt{s} =$ 13TeV""","Covariance matrix for $N_{3}^{(1)}$ reconstructed from all particles with pt > 1 GeV, unfolded to the particle level.",HEPData,1/1/2019,2019,,pub.1110269358,https://app.dimensions.ai/details/data_set/dataset.10556841,https://www.hepdata.net/record/122862,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
106,106,100,dataset.58434859,10.1371/journal.pone.0270739.t002,Output for regression: Lister-Level ∼ Education + Age + Education*Age.,The predictors are continuous and de-meaned.,Public Library of Science,8/1/2022,2022,Isabelle Boni; Julian Jara-Ettinger; Sophie Sackstein; Steven T. Piantadosi,pub.1149891181,https://app.dimensions.ai/details/data_set/dataset.58434859,https://plos.figshare.com/articles/dataset/Output_for_regression_Lister-Level_Education_Age_Education_Age_/20413279,"39 Education; 3902 Education Policy, Sociology and Philosophy; 49 Mathematical Sciences",,,,,,,,4 Quality Education
10215,10215,100,dataset.10535382,10.17182/hepdata.66612.v1/t13,"""Table 13"" of ""Study of Z production in PbPb and pp collisions at $ \sqrt{s_{\mathrm{NN}}}=2.76 $ TeV in the dimuon and dielectron decay channels""","Event centrality dependence of the $\mbox{Z}\rightarrow l^{+}l^{-}$ yields per MB event in PbPb collisions, divided by the expected average nuclear overlap function, $T_{\rm AA}$. On the horizontal axis, event centrality is depicted as the average number of participating nucleons, $N_{\rm part}$.",HEPData,1/1/2015,2015,,pub.1037571197,https://app.dimensions.ai/details/data_set/dataset.10535382,https://www.hepdata.net/record/66626,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics,,,,,,,,
7588,7588,100,dataset.10545287,10.17182/hepdata.79809.v1/t40,"""Figure 14 expected contour"" of ""Search for top squarks and dark matter particles in opposite-charge dilepton final states at $\sqrt{s}=$ 13 TeV""",Figure 14. Expected exclusion region at 95% CL assuming 100% branching fraction.,HEPData,1/1/2018,2018,,pub.1101062406,https://app.dimensions.ai/details/data_set/dataset.10545287,https://www.hepdata.net/record/82998,51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
13233,13233,100,dataset.8487297,10.1021/ja0716148.s001,"Development of a Nazarov Cyclization/Wagner−Meerwein Rearrangement
Sequence for the Stereoselective Synthesis of Spirocycles","A stereoselective Nazarov cyclization/Wagner−Meerwein rearrangement sequence for the synthesis of spirocyclic compounds was developed. While a range of different substrate types engaged in the cyclization/rearrangement sequence, it was found that different substrates underwent different reaction pathways. Depending on the substitution pattern of the substrate, the sequence was terminated by either a hydride shift or the shift of a vinyl or aryl group. It was also possible to install adjacent quaternary stereocenters using this protocol. The efficiency of the Wagner−Meerwein rearrangement was found to be dependent upon both the type and the amount of promoter used to generate the intermediate oxyallyl cation.",American Chemical Society,7/4/2007,2007,Jie Huang; Alison J. Frontier,pub.1028100695,https://app.dimensions.ai/details/data_set/dataset.8487297,https://acs.figshare.com/articles/dataset/Development_of_a_Nazarov_Cyclization_Wagner_Meerwein_Rearrangement_Sequence_for_the_Stereoselective_Synthesis_of_Spirocycles/2998888,34 Chemical Sciences; 34 Chemical Sciences; 3405 Organic Chemistry,,,,,,,,
313,313,100,dataset.58264297,10.17182/hepdata.113657.v1/t23,"""Figure 11a"" of ""Measurement of the inclusive and differential t$ \overline{t} $γ cross sections in the dilepton channel and effective field theory interpretation in proton-proton collisions at $ \sqrt{s} $ = 13 TeV""",Normalized differential $tt\gamma$ production cross section as a function of $|\Delta\eta(\ell\ell)|$.,HEPData,1/1/2022,2022,,pub.1147963256,https://app.dimensions.ai/details/data_set/dataset.58264297,https://www.hepdata.net/record/116308,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
2958,2958,100,dataset.25093741,10.17182/hepdata.102459.v2/t14,"""STXS stage 1.2 maximal 2D: VBF-like"" of ""Measurements of Higgs boson production cross sections and couplings in the diphoton decay channel at $\sqrt{s} = $ 13 TeV""",Observed likelihood surface.,HEPData,1/1/2021,2021,,pub.1139544127,https://app.dimensions.ai/details/data_set/dataset.25093741,https://www.hepdata.net/record/126477,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
2787,2787,100,dataset.25132689,10.17182/hepdata.93884.v1/t168,"""Figure 7-35"" of ""In-medium modification of dijets in PbPb collisions at $\sqrt{s_\mathrm{NN}} =$ 5.02 TeV""",Jet shapes for subleading jets in the 0-10 % centrality bin in PbPb collisions. The results are shown in different dijet momentum balance bins for the charged particle $p_{\mathrm{T}}$ bin $12 < p_{\mathrm{T}}^{\mathrm{ch}} < 300$ GeV.,HEPData,1/1/2021,2021,,pub.1138110484,https://app.dimensions.ai/details/data_set/dataset.25132689,https://www.hepdata.net/record/105215,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
11822,11822,100,dataset.10529201,10.17182/hepdata.58994.v1/t67,"""Table 67"" of ""Measurement of the elliptic anisotropy of charged particles produced in PbPb collisions at nucleon-nucleon center-of-mass energy = 2.76 TeV""","PT dependence of V2(EP) for centrality 25-30% and |eta| ranges 1.2-1.6, 1.6-2.0 and 2.0-2.4.",HEPData,1/1/2012,2012,,pub.1041129352,https://app.dimensions.ai/details/data_set/dataset.10529201,https://www.hepdata.net/record/59065,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9849,9849,100,dataset.10553271,10.17182/hepdata.68020.v1/t1,"""Table 1"" of ""Measurement of the Ratio of Inclusive Jet Cross Sections using the Anti-$k_T$ Algorithm with Radius Parameters R=0.5 and 0.7 in pp Collisions at $\sqrt{s}=7$ TeV""","Inclusive Jet cross section with R = 0.5 in the rapidity bin 0 < |y| < 0.5. The total uncorrelated uncertainty includes statistical one and systematic uncorrelated. The total systematic uncertainty includes all other sources, especially the luminosity uncertainty of 2.2%. The total error can be obtained as a quadratic sum of uncorrelated and correlated one. The NP correction can be used to scale theory prediction to compare to data at particle level.",HEPData,1/1/2015,2015,,pub.1052245640,https://app.dimensions.ai/details/data_set/dataset.10553271,https://www.hepdata.net/record/68021,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8388,8388,100,dataset.10543982,10.17182/hepdata.76554.v1/t22,"""Table 22"" of ""Measurement of differential cross sections for top quark pair production using the lepton+jets final state in proton-proton collisions at 13 TeV""",Absolute cross section at particle level.,HEPData,1/1/2017,2017,,pub.1085109590,https://app.dimensions.ai/details/data_set/dataset.10543982,https://www.hepdata.net/record/76583,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10419,10419,100,dataset.10526367,10.17182/hepdata.67151.v1/t75,"""Table 75"" of ""Evidence for transverse momentum and pseudorapidity dependent event plane fluctuations in PbPb and pPb collisions""","The $p_{T}$-dependent factorization ratio, $r_{2}$, as a function of $p^{a}_{T} - p^{b}_{T}$ with $2.0",HEPData,1/1/2015,2015,,pub.1046700402,https://app.dimensions.ai/details/data_set/dataset.10526367,https://www.hepdata.net/record/67232,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences,,,,,,,,
4220,4220,100,dataset.10561031,10.17182/hepdata.90835.v1/t50,"""T2tt expected mass limit curve"" of ""Search for supersymmetry in proton-proton collisions at 13 TeV in final states with jets and missing transverse momentum""",Exclusion limits assuming the approximate-NNLO+NNLL cross sections,HEPData,1/1/2020,2020,,pub.1122384945,https://app.dimensions.ai/details/data_set/dataset.10561031,https://www.hepdata.net/record/93597,49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8350,8350,100,dataset.10544562,10.17182/hepdata.77060.v1/t5,"""Table 5"" of ""$\Upsilon(\mathrm{nS})$ polarizations versus particle multiplicity in pp collisions at $\sqrt{s} =$ 7 TeV""","$\Upsilon$(nS) polarization parameter $\lambda_\vartheta$ in the HX frame for $p_T$ of 15 to 35 GeV. The global uncertainties, independent of state and $N_{ch}$ bin, are also indicated.",HEPData,1/1/2017,2017,,pub.1030186085,https://app.dimensions.ai/details/data_set/dataset.10544562,https://www.hepdata.net/record/78153,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
6115,6115,100,dataset.7862696,10.1021/acs.est.8b00837.s003,"The
Toxicogenome of <i>Hyalella azteca</i>: A Model for Sediment
Ecotoxicology and Evolutionary Toxicology","Hyalella azteca is a cryptic species complex of
epibenthic amphipods of interest to ecotoxicology and evolutionary
biology. It is the primary crustacean used in North America for sediment
toxicity testing and an emerging model for molecular ecotoxicology.
To provide molecular resources for sediment quality assessments and
evolutionary studies, we sequenced, assembled, and annotated the genome
of the H. azteca U.S. Lab Strain. The genome quality
and completeness is comparable with other ecotoxicological model species.
Through targeted investigation and use of gene expression data sets
of H. azteca exposed to pesticides, metals, and other
emerging contaminants, we annotated and characterized the major gene
families involved in sequestration, detoxification, oxidative stress,
and toxicant response. Our results revealed gene loss related to light
sensing, but a large expansion in chemoreceptors, likely underlying
sensory shifts necessary in their low light habitats. Gene family
expansions were also noted for cytochrome P450 genes, cuticle proteins,
ion transporters, and include recent gene duplications in the metal
sequestration protein, metallothionein. Mapping of differentially
expressed transcripts to the genome significantly increased the ability
to functionally annotate toxicant responsive genes. The H.
azteca genome will greatly facilitate development of genomic
tools for environmental assessments and promote an understanding of
how evolution shapes toxicological pathways with implications for
environmental and human health.",American Chemical Society,5/15/2018,2018,Helen C. Poynton; Simone Hasenbein; Joshua B. Benoit; Maria S. Sepulveda; Monica F. Poelchau; Daniel S. T. Hughes; Shwetha C. Murali; Shuai Chen; Karl M. Glastad; Michael A. D. Goodisman; John H. Werren; Joseph H. Vineis; Jennifer L. Bowen; Markus Friedrich; Jeffery Jones; Hugh M. Robertson; René Feyereisen; Alexandra Mechler-Hickson; Nicholas Mathers; Carol Eunmi Lee; John K. Colbourne; Adam Biales; J. Spencer Johnston; Gary A. Wellborn; Andrew J. Rosendale; Andrew G. Cridge; Monica C. Munoz-Torres; Peter A. Bain; Austin R. Manny; Kaley M. Major; Faith N. Lambert; Chris D. Vulpe; Padrig Tuck; Bonnie J. Blalock; Yu-Yu Lin; Mark E. Smith; Hugo Ochoa-Acuña; Mei-Ju May Chen; Christopher P. Childers; Jiaxin Qu; Shannon Dugan; Sandra L. Lee; Hsu Chao; Huyen Dinh; Yi Han; HarshaVardhan Doddapaneni; Kim C. Worley; Donna M. Muzny; Richard A. Gibbs; Stephen Richards,pub.1103198288,https://app.dimensions.ai/details/data_set/dataset.7862696,https://acs.figshare.com/articles/dataset/The_Toxicogenome_of_i_Hyalella_azteca_i_A_Model_for_Sediment_Ecotoxicology_and_Evolutionary_Toxicology/6176900,31 Biological Sciences; 31 Biological Sciences; 3105 Genetics; 41 Environmental Sciences; 41 Environmental Sciences; 4102 Ecological Applications,Biotechnology; Genetics; Human Genome,Generic health relevance,,Biomedical,Basic Science,,,
7668,7668,100,dataset.10543067,10.17182/hepdata.79057.v1/t6,"""Table 6"" of ""Principal-component analysis of two-particle azimuthal correlations in PbPb and $p\text{Pb}$ collisions at CMS""","Leading ($\alpha$ = 1) and subleading ($\alpha$ = 2) elliptic flow, $v^{(\alpha)}_2$, as a function of $p_T$ in 30-40% centrality PbPb collisions.",HEPData,1/1/2018,2018,,pub.1099613995,https://app.dimensions.ai/details/data_set/dataset.10543067,https://www.hepdata.net/record/81464,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics,,,,,,,,
11110,11110,100,dataset.8851973,10.1371/journal.pone.0026739.t007,Risk of Severe Hepatotoxicity in Patients with Different Baseline CD4 Count and Hepatitis C Virus RNA Level.,Risk of Severe Hepatotoxicity in Patients with Different Baseline CD4 Count and Hepatitis C Virus RNA Level.,Public Library of Science,2/20/2013,2013,Jia Wang; Huijuan Kou; Qiang Fu; Yang Han; Zhifeng Qiu; Lingyan Zuo; Yanling Li; Zhu Zhu; Min Ye; Qing Ma; Taisheng Li,pub.1042684617,https://app.dimensions.ai/details/data_set/dataset.8851973,https://plos.figshare.com/articles/dataset/_Risk_of_Severe_Hepatotoxicity_in_Patients_with_Different_Baseline_CD4_Count_and_Hepatitis_C_Virus_RNA_Level_/388772,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3202 Clinical Sciences,,,,,Clinical Medicine and Science,,,
