author(s),publisher,keywords,title,publicationYear,publisher_categories
"kun, m.; balog, z.; kenyon, s.j.; mamajek, e.e.; gutermuth, r.a.",strasbourg astronomical data center,0,pms stars in the cepheus flare region,2009,scientific
"gutermuth, r.a.; megeath, s.t.; myers, p.c.; allen, l.e.; pipher, j.l.; fazio, g.g.",strasbourg astronomical data center,0,spitzer survey of young stellar clusters,2009,scientific
"an, sungbae; chang, yongsung; kim, sun-bin",icpsr,"35 commerce, management, tourism and services; 38 economics; 38 economics; 3802 econometrics; 3803 economic theory",replication data for: can a representative-agent model represent a heterogeneous-agent economy,2009,Social Science
"schneider, j.; du, pingwu; wang, xiaoyong; brennessel, w.w.; eisenberg, r.",the cambridge structural database,0,ccdc 729655: experimental crystal structure determination,2009,scientific
"chin, r.m.; maurer, d.; parr, m.; allworth, n.; schwenker, r.; sullivan, d.; enabnit, s.; brennessel, w.",the cambridge structural database,0,ccdc 684714: experimental crystal structure determination,2009,scientific
"adhikari, d.; mossin, s.; basuli, f.; dible, b.r.; chipara, m.; fan, hongjun; huffman, j.c.; meyer, k.; mindiola, d.j.",the cambridge structural database,0,ccdc 712934: experimental crystal structure determination,2009,scientific
"cowley, r.e.; eckert, n.a.; elhaik, j.; holland, p.l.",the cambridge structural database,0,ccdc 710042: experimental crystal structure determination,2009,scientific
"yu, ying; sadique, a.r.; smith, j.m.; dugan, t.r.; cowley, r.e.; brennessel, w.w.; flaschenriem, c.j.; bill, e.; cundari, t.r.; holland, p.l.",the cambridge structural database,0,ccdc 701541: experimental crystal structure determination,2009,scientific
"wentland, m.p.; lou, rongliang; lu, qun; bu, yigong; denhardt, c.; jin, jin; ganorkar, r.; vanalstine, m.a.; guo, chengyun; cohen, d.j.; bidlack, j.m.",the cambridge structural database,0,ccdc 710250: experimental crystal structure determination,2009,scientific
"torres-nieto, j.; brennessel, w.w.; jones, w.d.; garcia, j.j.",the cambridge structural database,0,ccdc 733407: experimental crystal structure determination,2009,scientific
"sadique, a.r.; brennessel, w.w.; holland, p.l.",the cambridge structural database,0,ccdc 735100: experimental crystal structure determination,2009,scientific
"bitar, a.y.; frontier, a.j.",the cambridge structural database,0,ccdc 723638: experimental crystal structure determination,2009,scientific
"clark, m.m.; brennessel, w.w.; holland, p.l.",the cambridge structural database,0,ccdc 726241: experimental crystal structure determination,2009,scientific
"scalabrino, g.a.; hogan, n.; oboyle, k.m.; slator, g.r.; gregg, d.j.; fitchett, c.m.; draper, s.m.; bennett, g.w.; hinkle, p.m.; bauer, k.; williams, c.h.; tipton, k.f.; kelly, j.a.",the cambridge structural database,0,ccdc 292196: experimental crystal structure determination,2009,scientific
"atesin, t.a.; atesin, a.c.; skugrud, k.; jones, w.d.",the cambridge structural database,0,ccdc 694813: experimental crystal structure determination,2009,scientific
"dubinina, g.g.; brennessel, w.w.; miller, j.l.; vicic, d.a.",the cambridge structural database,0,ccdc 704095: experimental crystal structure determination,2009,scientific
"pignotti, l.r.; kongprakaiwoot, n.; brennessel, w.w.; baltrusaitis, j.; luck, r.l.; urnezius, e.",the cambridge structural database,0,ccdc 687861: experimental crystal structure determination,2009,scientific
"swartz, b.d.; reinartz, n.m.; brennessel, w.w.; garcia, j.j.; jones, w.d.",the cambridge structural database,0,ccdc 701746: experimental crystal structure determination,2009,scientific
"yu, ying; brennessel, w.w.; holland, p.l.",the cambridge structural database,0,ccdc 700975: experimental crystal structure determination,2009,scientific
debashis adhikari; susanne mossin; falguni basuli; benjamin r. dible; mircea chipara; hongjun fan; john c. huffman; karsten meyer; daniel j. mindiola,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 51 physical sciences,"a dinuclear ni(i) system having a diradical ni<sub>2</sub>n<sub>2</sub> diamond core resting state: synthetic, structural, spectroscopic elucidation, and reductive bond splitting reactions",2008,scientific
galyna g. dubinina; william w. brennessel; jennifer l. miller; david a. vicic,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,exploring trifluoromethylation reactions at nickel: a structural and reactivity study,2008,scientific
hong qin; meng lu; david s. goldfarb,public library of science,0,summary of key variables.,2008,scientific
brett d. swartz; nicole m. reinartz; william w. brennessel; juventino j. garcía; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3406 physical chemistry; 3407 theoretical and computational chemistry,solvent effects and activation parameters in the competitive cleavage of c−cn and c−h bonds in 2-methyl-3-butenenitrile using (dippe)nih<sub>2</sub>,2008,scientific
jae-hyung lee; gloria culver; susan carpenter; drena dobbs,public library of science,31 biological sciences; 32 biomedical and clinical sciences; 3203 dentistry,oligonucleotide primers used in the primer extension analysis of erre,2008,scientific
tülay a. ateşin; abdurrahman ç. ateşin; karlyn skugrud; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry; 3406 physical chemistry; 3407 theoretical and computational chemistry,understanding selectivity in the oxidative addition of the carbon−sulfur bonds of 2-cyanothiophene to pt(0),2008,scientific
ying yu; azwana r. sadique; jeremy m. smith; thomas r. dugan; ryan e. cowley; william w. brennessel; christine j. flaschenriem; eckhard bill; thomas r. cundari; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,the reactivity patterns of low-coordinate iron−hydride complexes,2008,scientific
ryan e. cowley; jérôme elhaïk; nathan a. eckert; william w. brennessel; eckhard bill; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,a bridging hexazene (rnnnnnnr) ligand from reductive coupling of azides,2008,scientific
alberto acosta-ramírez; marcos flores-álamo; william d. jones; juventino j. garcía,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,p−c bond scission at the triphos ligand and c−cn bond cleavage in 2-methyl-3-butenenitrile with ni(cod)<sub>2</sub>,2008,scientific
jacob schneider; young-a lee; javier pérez; william w. brennessel; christine flaschenriem; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"strong intra- and intermolecular aurophilic interactions in a new series
of brilliantly luminescent dinuclear cationic and neutral au(i)
benzimidazolethiolate complexes",2008,scientific
azwana r. sadique; william w. brennessel; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"reduction of co<sub>2</sub> to co using low-coordinate iron:  formation of a
four-coordinate iron dicarbonyl complex and a bridging carbonate
complex",2008,scientific
wei he; ildiko r. herrick; tulay a. atesin; patrick a. caruana; colleen a. kellenberger; alison j. frontier,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"polarizing the nazarov cyclization:  the impact of dienone
substitution pattern on reactivity and selectivity",2008,scientific
wei he; jie huang; xiufeng sun; alison j. frontier,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,total synthesis of (±)-merrilactone a,2008,scientific
pingwu du; jacob schneider; william w. brennessel; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis and structural characterization of a new vapochromic pt(ii)
complex based on the 1-terpyridyl-2,3,4,5,6-pentaphenylbenzene
(tpppb) ligand",2008,scientific
"mamajek, e.e.; hillenbrand, l.a.",strasbourg astronomical data center,0,age estimation for solar-type dwarfs,2008,scientific
"allen, t.s.; pipher, j.l.; gutermuth, r.a.; megeath, s.t.; adams, j.d.; herter, t.l.; williams, j.p.; goetz-bixby, j.a.; allen, l.e.; myers, p.c.",strasbourg astronomical data center,0,lynds 988e jhks and irac photometry,2008,scientific
"gutermuth, r.a.; myers, p.c.; megeath, s.t.; allen, l.e.; pipher, j.l.; muzerolle, j.; porras, a.; winston, e.; fazio, g.",strasbourg astronomical data center,0,spitzer observations of ngc 1333,2008,scientific
"kastner, j.h.; thorndike, s.l.; romanczyk, p.a.; buchanan, c.l.; hrivnak, b.j.; sahai, r.; egan, m.",strasbourg astronomical data center,0,most luminous lmc sources at 8{mu}m,2008,scientific
"d.j.e., floyd; axon, d.; baum, s.; capetti, a.; chiaberge, m.; macchetto, d.; madrid, j.; miley, g.; odea, c.p.; perlman, e.; quillen, a.; sparks, w.; tremblay, g.",strasbourg astronomical data center,0,hst survey of 3cr radio source counterparts. ii.,2008,scientific
"quillen, a.c.; zufelt, n.; park, j.; odea, c.p.; baum, s.a.; privon, g.; noel-storr, j.; edge, a.; russell, h.; fabian, a.; donahue, m.; bregman, j.n.; mcnamara, b.r.; sarazin, c.l.",strasbourg astronomical data center,0,ir survey of brightest cluster galaxies i.,2008,scientific
"he, wei; huang, jie; sun, xiufeng; frontier, a.j.",the cambridge structural database,0,ccdc 678636: experimental crystal structure determination,2008,scientific
"vetter, a.j.; reith, r.d.; jones, w.d.",the cambridge structural database,0,ccdc 622464: experimental crystal structure determination,2008,scientific
"vela, j.; zhu, l.; flaschenriem, c.j.; brennessel, w.w.; lachicotte, r.j.; holland, p.l.",the cambridge structural database,0,ccdc 659880: experimental crystal structure determination,2008,scientific
"acosta-ramirez, a.; flores-alamo, m.; jones, w.d.; garcia, j.j.",the cambridge structural database,0,ccdc 688134: experimental crystal structure determination,2008,scientific
"jiang, chao; frontier, a.j.",the cambridge structural database,0,ccdc 671522: experimental crystal structure determination,2008,scientific
"du, pingwu; schneider, j.; brennessel, w.w.; eisenberg, r.",the cambridge structural database,0,ccdc 681594: experimental crystal structure determination,2008,scientific
"cowley, r.e.; elhaik, j.; eckert, n.a.; brennessel, w.w.; bill, e.; holland, p.l.",the cambridge structural database,0,ccdc 695053: experimental crystal structure determination,2008,scientific
"schneider, j.; lee, young-a; perez, j.; brennessel, w.w.; flaschenriem, c.; eisenberg, r.",the cambridge structural database,0,ccdc 683779: experimental crystal structure determination,2008,scientific
"gunay, a.; brennessel, w.w.; jones, w.d.",the cambridge structural database,0,ccdc 680594: experimental crystal structure determination,2008,scientific
chao jiang; alison j. frontier,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"stereoselective synthesis of pyrrolidine
derivatives via reduction of substituted
pyrroles",2007,scientific
yun tao; john p masly; luciana araripe; yeyan ke; daniel l hartl,public library of science,31 biological sciences; 31 biological sciences; 3105 genetics,a <em>sex-ratio</em> meiotic drive system in <em>drosophila simulans.</em> i: an autosomal suppressor,2007,scientific
konrad p. körding; ulrik beierholm; wei ji ma; steven quartz; joshua b. tenenbaum; ladan shams,public library of science,38 economics; 49 mathematical sciences; 49 mathematical sciences; 4905 statistics,"maximal log likelihood ratios (base <i>e</i>) across subjects of models relative to causal inference model (mean±s.e.m., see methods for details).",2007,scientific
john p masly; daven c presgraves,public library of science,31 biological sciences; 31 biological sciences; 3104 evolutionary biology; 3105 genetics,high-resolution genome-wide dissection of the two rules of speciation in <em>drosophila</em>,2007,scientific
arndt telschow; matthias flor; yutaka kobayashi; peter hammerstein; john h. werren,public library of science,31 biological sciences; 31 biological sciences; 3103 ecology; 3109 zoology,definitions of the parameters and symbols used in the model.,2007,scientific
ahmet gunay; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry; 3406 physical chemistry,"cleavage of carbon−carbon bonds of diphenylacetylene and
its derivatives via photolysis of pt complexes:  tuning the
c−c bond formation energy toward selective c−c bond
activation",2007,scientific
azwana r. sadique; elizabeth a. gregory; william w. brennessel; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"mechanistic insight into nn cleavage by a low-coordinate
iron(ii) hydride complex",2007,scientific
jie huang; alison j. frontier,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"development of a nazarov cyclization/wagner−meerwein rearrangement
sequence for the stereoselective synthesis of spirocycles",2007,scientific
javier vela; liwei zhu; christine j. flaschenriem; william w. brennessel; rene j. lachicotte; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"macrocyclic binucleating β-diketiminate ligands and their
lithium, aluminum, and zinc complexes",2007,scientific
pingwu du; jacob schneider; paul jarosz; jie zhang; william w. brennessel; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"photoinduced electron transfer in platinum(ii) terpyridyl acetylide chromophores: 
reductive and oxidative quenching and hydrogen production<sup>†</sup>",2007,scientific
tülay a. ateşin; ting li; sébastien lachaize; william w. brennessel; juventino j. garcía; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3406 physical chemistry; 3407 theoretical and computational chemistry,"experimental and theoretical examination of c−cn and c−h
bond activations of acetonitrile using zerovalent nickel",2007,scientific
dan zhou; jin xue; jianming chen; patrick morcillo; j. david lambert; kevin p. white; gabriel g. haddad,public library of science,31 biological sciences; 31 biological sciences; 3105 genetics,experimental selection for <em>drosophila</em> survival in extremely low o<sub>2</sub> environment,2007,scientific
jianguang zhou; nabi a. magomedov,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,explorations on the asymmetric total synthesis of isoschizogamine,2007,scientific
abdurrahman ç. atesin; simon b. duckett; christine flaschenriem; william w. brennessel; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"diastereoselective oxidative addition of dihydrogen to
iri(co)((<i>r</i>)-binap) and ir(co)<sub>2</sub>((<i>r</i>)-binap)sbf<sub>6</sub>",2007,scientific
javier vela; jordi cirera; jeremy m. smith; rene j. lachicotte; christine j. flaschenriem; santiago alvarez; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"quantitative geometric descriptions of the belt iron atoms of the
iron−molybdenum cofactor of nitrogenase and synthetic iron(ii) model
complexes",2007,scientific
"zhou, jianguang; magomedov, n.a.",the cambridge structural database,0,ccdc 651896: experimental crystal structure determination,2007,scientific
"aguiar, mark; hurst, erik",icpsr,"33 built environment and design; 35 commerce, management, tourism and services; 38 economics; 38 economics; 3801 applied economics; 3802 econometrics",replication data for: life-cycle prices and production,2007,Social Science
"brennessel, w.w.; jilek, r.e.; ellis, j.e.",the cambridge structural database,0,ccdc 637190: experimental crystal structure determination,2007,scientific
"huang, jie; frontier, a.j.",the cambridge structural database,0,ccdc 655142: experimental crystal structure determination,2007,scientific
"sadique, a.r.; gregory, e.a.; brennessel, w.w.; holland, p.l.",the cambridge structural database,0,ccdc 655169: experimental crystal structure determination,2007,scientific
"eckert, n.a.; vaddadi, s.; stoian, s.; lachicotte, r.j.; cundari, t.r.; holland, p.l.",the cambridge structural database,0,ccdc 626273: experimental crystal structure determination,2007,scientific
"bucholtz, k.m.; gareiss, p.c.; tajc, s.g.; miller, b.l.",the cambridge structural database,0,ccdc 616053: experimental crystal structure determination,2007,scientific
"atesin, t.a.; li, ting; lachaize, s.; brennessel, w.w.; garcia, j.j.; jones, w.d.",the cambridge structural database,0,ccdc 634623: experimental crystal structure determination,2007,scientific
"acosta-ramirez, a.; munoz-hernandez, m.; jones, w.d.; garcia, j.j.",the cambridge structural database,0,ccdc 605934: experimental crystal structure determination,2007,scientific
"du, pingwu; schneider, j.; jarosz, p.; zhang, jie; brennessel, w.w.; eisenberg, r.",the cambridge structural database,0,ccdc 655837: experimental crystal structure determination,2007,scientific
"gunay, a.; jones, w.d.",the cambridge structural database,0,ccdc 659776: experimental crystal structure determination,2007,scientific
"reith, r.d.; brennessel, w.w.; jones, w.d.",the cambridge structural database,0,ccdc 618858: experimental crystal structure determination,2007,scientific
"atesin, a.c.; duckett, s.b.; flaschenriem, c.; brennessel, w.w.; eisenberg, r.",the cambridge structural database,0,ccdc 643708: experimental crystal structure determination,2007,scientific
"vela, j.; cirera, j.; smith, j.m.; lachicotte, r.j.; flaschenriem, c.j.; alvarez, s.; holland, p.l.",the cambridge structural database,0,ccdc 639197: experimental crystal structure determination,2007,scientific
"malona, j.a.; colbourne, j.m.; frontier, a.j.",the cambridge structural database,0,ccdc 632144: experimental crystal structure determination,2007,scientific
"janka, m.; atesin, a.c.; fox, d.j.; flaschenriem, c.; brennessel, w.w.; eisenberg, r.",the cambridge structural database,0,ccdc 620833: experimental crystal structure determination,2007,scientific
john a. malona; jessica m. colbourne; alison j. frontier,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"a general method for the catalytic
nazarov cyclization of heteroaromatic
compounds",2006,scientific
john jaenike; kelly a dyer; chad cornish; miranda s minhas,public library of science,0,population structure: methods and additional results,2006,scientific
daniel j. fox; simon b. duckett; christine flaschenriem; william w. brennessel; jacob schneider; ahmet gunay; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"a model iridium hydroformylation system with the large bite angle
ligand xantphos:  reactivity with parahydrogen and implications for
hydroformylation catalysis",2006,scientific
jonathan a eisen; robert s coyne; martin wu; dongying wu; mathangi thiagarajan; jennifer r wortman; jonathan h badger; qinghu ren; paolo amedeo; kristie m jones; luke j tallon; arthur l delcher; steven l salzberg; joana c silva; brian j haas; william h majoros; maryam farzad; jane m carlton; roger k smith jr.; jyoti garg; ronald e pearlman; kathleen m karrer; lei sun; gerard manning; nels c elde; aaron p turkewitz; david j asai; david e wilkes; yufeng wang; hong cai; kathleen collins; b. andrew stewart; suzanne r lee; katarzyna wilamowska; zasha weinberg; walter l ruzzo; dorota wloga; jacek gaertig; joseph frankel; che-chia tsao; martin a gorovsky; patrick j keeling; ross f waller; nicola j patron; j. michael cherry; nicholas a stover; cynthia j krieger; christina del toro; hilary f ryder; sondra c williamson; rebecca a barbeau; eileen p hamilton; eduardo orias,public library of science,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics; 3107 microbiology,"macronuclear genome sequence of the ciliate <em>tetrahymena thermophila,</em> a model eukaryote",2006,scientific
mesfin janka; abdurrahman ç. atesin; daniel j. fox; christine flaschenriem; william w. brennessel; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"highly diastereoselective oxidative addition of methyl iodide to a chiral
square-planar complex",2006,scientific
"robert k. boeckman,; pengcheng shao; stephen t. wrobleski; debra j. boehmler; geoffrey r. heintzelman; antonio. j. barbosa",american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"toward the development of a general chiral auxiliary. a total
synthesis of (+)-tetronolide via a tandem ketene-trapping
4 + 2 cycloaddition strategy",2006,scientific
ying yu; jeremy m. smith; christine j. flaschenriem; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,binding affinity of alkynes and alkenes to low-coordinate iron,2006,scientific
mesfin janka; wei he; inga e. haedicke; frank r. fronczek; alison j. frontier; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"tandem nazarov cyclization−michael addition sequence catalyzed by an
ir(iii) complex",2006,scientific
jeremy m. smith; azwana r. sadique; thomas r. cundari; kenton r. rodgers; gudrun lukat-rodgers; rene j. lachicotte; christine j. flaschenriem; javier vela; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,studies of low-coordinate iron dinitrogen complexes,2006,scientific
"madrid, j.p.; chiaberge, m.; floyd, d.; sparks, w.b.; macchetto, d.; miley, g.k.; axon, d.; capetti, a.; odea, c.p.; baum, s.; perlman, e.; quillen, a.",strasbourg astronomical data center,0,nicmos observations of 3cr radio sources,2006,scientific
"atesin, t.a.; oster, s.s.; skugrud, k.; jones, w.d.",the cambridge structural database,0,ccdc 285742: experimental crystal structure determination,2006,scientific
"janka, m.; he, wei; haedicke, i.e.; fronczek, f.r.; frontier, a.j.; eisenberg, r.",the cambridge structural database,0,ccdc 611767: experimental crystal structure determination,2006,scientific
"smith, j.m.; sadique, a.r.; cundari, t.r.; rodgers, k.r.; lukat-rodgers, g.; lachicotte, r.j.; flaschenriem, c.j.; vela, j.; holland, p.l.",the cambridge structural database,0,ccdc 297812: experimental crystal structure determination,2006,scientific
"fox, d.j.; duckett, s.b.; flaschenriem, c.; brennessel, w.w.; schneider, j.; gunay, a.; eisenberg, r.",the cambridge structural database,0,ccdc 623720: experimental crystal structure determination,2006,scientific
"eckert, n.a.; dinescu, a.; cundari, t.r.; holland, p.l.",the cambridge structural database,0,ccdc 291420: experimental crystal structure determination,2006,scientific
"boeckman junior, r.k.; shao, pengcheng; wrobleski, s.t.; boehmler, d.j.; heintzelman, g.r.; barbosa, a.j.",the cambridge structural database,0,ccdc 622611: experimental crystal structure determination,2006,scientific
"hebden, t.j.; brennessel, w.w.; flaschenriem, c.j.; holland, p.l.",the cambridge structural database,0,ccdc 608910: experimental crystal structure determination,2006,scientific
"eisenberg, r.; brennessel, w.w.",the cambridge structural database,0,ccdc 625671: experimental crystal structure determination,2006,scientific
"yu, ying; smith, j.m.; flaschenriem, c.j.; holland, p.l.",the cambridge structural database,0,ccdc 617891: experimental crystal structure determination,2006,scientific
"vela, j.; vaddadi, s.; kingsley, s.; flaschenriem, c.j.; lachicotte, r.j.; cundari, t.r.; holland, p.l.",the cambridge structural database,0,ccdc 602128: experimental crystal structure determination,2006,scientific
"vetter, a.j.; flaschenriem, c.; jones, w.d.",the cambridge structural database,0,ccdc 288450: experimental crystal structure determination,2006,scientific
nathan a. eckert; adriana dinescu; thomas r. cundari; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"a t-shaped three-coordinate nickel(i) carbonyl complex and the
geometric preferences of three-coordinate d<sup>9</sup> complexes",2005,scientific
andrew j. vetter; christine flaschenriem; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"alkane coordination selectivity in hydrocarbon activation by
tp‘rh(cnneopentyl):  the role of alkane complexes",2005,scientific
soma chakraborty; thaddeus j. wadas; heidi hester; christine flaschenreim; russell schmehl; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis, structure, characterization, and photophysical studies of a
new platinum terpyridyl-based triad with covalently linked donor and
acceptor groups",2005,scientific
nathan a. eckert; sebastian stoian; jeremy m. smith; emile l. bominaar; eckard münck; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis, structure, and spectroscopy of an oxodiiron(ii) complex",2005,scientific
javier vela; jeremy m. smith; ying yu; nicole a. ketterer; christine j. flaschenriem; rene j. lachicotte; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"synthesis and reactivity of low-coordinate iron(ii) fluoride
complexes and their use in the catalytic hydrodefluorination
of fluorocarbons",2005,scientific
thaddeus j. wadas; soma chakraborty; rene j. lachicotte; quan-ming wang; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"facile synthesis, structure, and luminescence properties of
pt(diimine)bis(arylacetylide) chromophore−donor dyads",2005,scientific
elizabeth a. gregory; rene j. lachicotte; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"a cationic three-coordinate iron(ii) complex and the
reaction of β-diketiminate with ethyl diazoacetate",2005,scientific
"peterson, b.m.; bentz, m.c.; desroches, l.-b.; filippenko, a.v.; ho, l.c.; kaspi, s.; laor, a.; maoz, d.; moran, e.c.; pogge, r.w.; quillen, a.c.",strasbourg astronomical data center,0,ngc4395 light curves,2005,scientific
"greenwood, jeremy; seshadri, ananth; vandenbroucke, guillaume",icpsr,44 human society; 44 human society; 4403 demography,replication data for: the baby boom and baby bust,2005,Social Science
"chakraborty, s.; wadas, t.j.; hester, h.; flaschenreim, c.; schmehl, r.; eisenberg, r.",the cambridge structural database,0,ccdc 270135: experimental crystal structure determination,2005,scientific
"wadas, t.j.; chakraborty, s.; lachicotte, r.j.; wang, quan-ming; eisenberg, r.",the cambridge structural database,0,ccdc 270675: experimental crystal structure determination,2005,scientific
"vela, j.; vaddadi, s.; cundari, t.r.; smith, j.m.; gregory, e.a.; lachicotte, r.j.; flaschenriem, c.j.; holland, p.l.",the cambridge structural database,0,ccdc 255564: experimental crystal structure determination,2005,scientific
"jones, w.d.; garcia, j.; torrens, h.",the cambridge structural database,0,ccdc 289881: experimental crystal structure determination,2005,scientific
"eckert, n.a.; stoian, s.; smith, j.m.; bominaar, e.l.; munck, e.; holland, p.l.",the cambridge structural database,0,ccdc 278360: experimental crystal structure determination,2005,scientific
"janka, m.; he, wei; frontier, a.j.; flaschenriem, c.; eisenberg, r.",the cambridge structural database,0,ccdc 257337: experimental crystal structure determination,2005,scientific
"vela, j.; smith, j.m.; yu, ying; ketterer, n.a.; flaschenriem, c.j.; lachicotte, r.j.; holland, p.l.",the cambridge structural database,0,ccdc 275572: experimental crystal structure determination,2005,scientific
"gregory, e.a.; lachicotte, r.j.; holland, p.l.",the cambridge structural database,0,ccdc 249199: experimental crystal structure determination,2005,scientific
"oster, s.s.; jones, w.d.",the cambridge structural database,0,ccdc 247139: experimental crystal structure determination,2005,scientific
"wadas, t.j.; wang, quan-ming; kim, yong-joo; flaschenreim, c.; blanton, t.n.; eisenberg, r.",the cambridge structural database,0,ccdc 261044: experimental crystal structure determination,2005,scientific
"magomedov, n.a.; ruggiero, p.l.; tang, yuchen",the cambridge structural database,0,ccdc 254481: experimental crystal structure determination,2005,scientific
thaddeus j. wadas; quan-ming wang; yong-joo kim; christine flaschenreim; thomas n. blanton; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"vapochromism and its structural basis in a luminescent
pt(ii) terpyridine−nicotinamide complex",2004,scientific
javier vela; sridhar vaddadi; thomas r. cundari; jeremy m. smith; elizabeth a. gregory; rene j. lachicotte; christine j. flaschenriem; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry; 3407 theoretical and computational chemistry,"reversible beta-hydrogen elimination of
three-coordinate iron(ii) alkyl complexes:  mechanistic
and thermodynamic studies",2004,scientific
nabi a. magomedov; piero l. ruggiero; yuchen tang,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"chemoselective cyclizations of divinyl
ketones to cyclohexenones mediated
by lewis acid and base",2004,scientific
quan-ming wang; young-a. lee; olga crespo; joseph deaton; ching tang; henry j. gysling; m. concepción gimeno; carmen larraz; m. dolores villacampa; antonio laguna; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"intensely luminescent gold(i)−silver(i) cluster complexes with tunable
structural features",2004,scientific
nathan a. eckert; jeremy m. smith; rene j. lachicotte; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"low-coordinate iron(ii) amido complexes of β-diketiminates: 
synthesis, structure, and reactivity",2004,scientific
javier vela; sebastian stoian; christine j. flaschenriem; eckard münck; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"a sulfido-bridged diiron(ii) compound and its reactions with
nitrogenase-relevant substrates",2004,scientific
nicole m. brunkan; donna m. brestensky; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"kinetics, thermodynamics, and effect of bph<sub>3</sub> on competitive
c−c and c−h bond activation reactions in the
interconversion of allyl cyanide by ni(dippe)",2004,scientific
"torres, marta e; teichert, barbara m a; tréhu, anne m; borowski, walter s; tomaru, hitoshi",pangaea,37 earth sciences; 37 earth sciences; 3703 geochemistry; 3705 geology; 3706 geophysics,"(table 1) depth to basement, accreted melange, bottom simulating reflector and sediment penetration in meters below seafloor, supplement to: torres, marta e; teichert, barbara m a; tréhu, anne m; borowski, walter s; tomaru, hitoshi (2004): relationship of pore water freshening to accretionary processes in the cascadia margin: fluid sources and gas hydrate abundance. geophysical research letters, 31(22), 1-4",2004,geology/environment
