,publisher,publisher_categories,author(s),title,publicationYear,keywords,tot_appearances,tot_pubYrs,tot_authors,tot_publishers
2857,american chemical society,scientific,pingwu du; jacob schneider; genggeng luo; william w. brennessel; richard eisenberg,"visible light-driven hydrogen production from aqueous
protons catalyzed by molecular cobaloxime catalysts",2009, 34 chemical sciences,249,28,249,4
2860,public library of science,scientific,matthew w. g. dye; peter c. hauser; daphne bavelier,is visual selective attention in deaf individuals enhanced or deficient? the case of the useful field of view,2009,32 biomedical and clinical sciences,119,14,119,13
2861,public library of science,scientific,matthew w. g. dye; peter c. hauser; daphne bavelier,is visual selective attention in deaf individuals enhanced or deficient? the case of the useful field of view,2009, 42 health sciences,25,11,25,6
2863,american chemical society,scientific,matthew r. grochowski; william w. brennessel; william d. jones,carbon−sulfur bond cleavage of methyl-substituted thiophenes with iridium(iii),2009,34 chemical sciences,244,28,244,4
2864,american chemical society,scientific,matthew r. grochowski; william w. brennessel; william d. jones,carbon−sulfur bond cleavage of methyl-substituted thiophenes with iridium(iii),2009, 34 chemical sciences,249,28,249,4
2866,public library of science,scientific,daven c. presgraves; pierre r. gérard; anjuli cherukuri; terrence w. lyttle,table s1 - large-scale selective sweep among <em>segregation distorter</em> chromosomes in african populations of <em>drosophila melanogaster</em>,2009,31 biological sciences,148,18,148,9
2867,public library of science,scientific,daven c. presgraves; pierre r. gérard; anjuli cherukuri; terrence w. lyttle,table s1 - large-scale selective sweep among <em>segregation distorter</em> chromosomes in african populations of <em>drosophila melanogaster</em>,2009, 31 biological sciences,123,17,123,10
2869,public library of science,scientific,julie hull-thompson; julien muffat; diego sanchez; david w. walker; seymour benzer; maria d. ganfornina; heinrich jasper,control of metabolic homeostasis by stress signaling is mediated by the lipocalin nlaz,2009,31 biological sciences,148,18,148,9
2870,public library of science,scientific,julie hull-thompson; julien muffat; diego sanchez; david w. walker; seymour benzer; maria d. ganfornina; heinrich jasper,control of metabolic homeostasis by stress signaling is mediated by the lipocalin nlaz,2009, 31 biological sciences,123,17,123,10
2872,american chemical society,scientific,jorge torres-nieto; william w. brennessel; william d. jones; juventino j. garcía,mechanistic insights on the hydrodesulfurization of biphenyl-2-thiol with nickel compounds,2009,34 chemical sciences,244,28,244,4
2873,american chemical society,scientific,jorge torres-nieto; william w. brennessel; william d. jones; juventino j. garcía,mechanistic insights on the hydrodesulfurization of biphenyl-2-thiol with nickel compounds,2009, 34 chemical sciences,249,28,249,4
2875,american chemical society,scientific,jacob schneider; pingwu du; xiaoyong wang; william w. brennessel; richard eisenberg,"synthesis, electrochemistry, photophysics, and solvatochromism in new cyclometalated 6-phenyl-4-(<i>p</i>-r-phenyl)-2,2′-bipyridyl (r = me, coome, p(o)(oet)<sub>2</sub>) (c<sup>∧</sup>n<sup>∧</sup>n) platinum(ii) thiophenolate chromophores",2009,34 chemical sciences,244,28,244,4
2876,american chemical society,scientific,jacob schneider; pingwu du; xiaoyong wang; william w. brennessel; richard eisenberg,"synthesis, electrochemistry, photophysics, and solvatochromism in new cyclometalated 6-phenyl-4-(<i>p</i>-r-phenyl)-2,2′-bipyridyl (r = me, coome, p(o)(oet)<sub>2</sub>) (c<sup>∧</sup>n<sup>∧</sup>n) platinum(ii) thiophenolate chromophores",2009, 34 chemical sciences,249,28,249,4
2878,public library of science,scientific,arnulf koehncke; arndt telschow; john h. werren; peter hammerstein,analytical results.,2009,32 biomedical and clinical sciences,119,14,119,13
2879,public library of science,scientific,arnulf koehncke; arndt telschow; john h. werren; peter hammerstein,analytical results.,2009, 32 biomedical and clinical sciences,136,16,136,12
2881,public library of science,scientific,wei miao; jie xiong; josephine bowen; wei wang; yifan liu; olga braguinets; jorg grigull; ronald e. pearlman; eduardo orias; martin a. gorovsky,microarray analyses of gene expression during the <em>tetrahymena thermophila</em> life cycle,2009,31 biological sciences,148,18,148,9
2882,public library of science,scientific,wei miao; jie xiong; josephine bowen; wei wang; yifan liu; olga braguinets; jorg grigull; ronald e. pearlman; eduardo orias; martin a. gorovsky,microarray analyses of gene expression during the <em>tetrahymena thermophila</em> life cycle,2009, 31 biological sciences,123,17,123,10
2885,american chemical society,scientific,abdallah y. bitar; alison j. frontier,formal synthesis of (±)-roseophilin,2009,34 chemical sciences,244,28,244,4
2886,american chemical society,scientific,abdallah y. bitar; alison j. frontier,formal synthesis of (±)-roseophilin,2009, 34 chemical sciences,249,28,249,4
2889,pangaea,geology/environment,"doubrovine, pavel v; tarduno, john a; zhao, xixi","(table s1) cation compositions of titanomaghemite in dsdp hole 89-462a basalts, supplement to: doubrovine, pavel v; tarduno, john a; zhao, xixi (2009): on the magnetostratigraphic age of nauru basin basalts of the western pacific ocean and timing of ontong java volcanism. earth and planetary science letters, 287(1-2), 175-184",2009,37 earth sciences,16,9,16,6
2890,pangaea,geology/environment,"doubrovine, pavel v; tarduno, john a; zhao, xixi","(table s1) cation compositions of titanomaghemite in dsdp hole 89-462a basalts, supplement to: doubrovine, pavel v; tarduno, john a; zhao, xixi (2009): on the magnetostratigraphic age of nauru basin basalts of the western pacific ocean and timing of ontong java volcanism. earth and planetary science letters, 287(1-2), 175-184",2009, 37 earth sciences,18,9,18,6
2899,icpsr,Social Science,"an, sungbae; chang, yongsung; kim, sun-bin",replication data for: can a representative-agent model represent a heterogeneous-agent economy,2009,35 commerce,8,6,8,2
2900,icpsr,Social Science,"an, sungbae; chang, yongsung; kim, sun-bin",replication data for: can a representative-agent model represent a heterogeneous-agent economy,2009, management,9,7,9,2
2901,icpsr,Social Science,"an, sungbae; chang, yongsung; kim, sun-bin",replication data for: can a representative-agent model represent a heterogeneous-agent economy,2009, tourism and services,9,7,9,2
2902,icpsr,Social Science,"an, sungbae; chang, yongsung; kim, sun-bin",replication data for: can a representative-agent model represent a heterogeneous-agent economy,2009, 38 economics,18,12,18,4
2922,american chemical society,scientific,debashis adhikari; susanne mossin; falguni basuli; benjamin r. dible; mircea chipara; hongjun fan; john c. huffman; karsten meyer; daniel j. mindiola,"a dinuclear ni(i) system having a diradical ni<sub>2</sub>n<sub>2</sub> diamond core resting state: synthetic, structural, spectroscopic elucidation, and reductive bond splitting reactions",2008,34 chemical sciences,244,28,244,4
2923,american chemical society,scientific,debashis adhikari; susanne mossin; falguni basuli; benjamin r. dible; mircea chipara; hongjun fan; john c. huffman; karsten meyer; daniel j. mindiola,"a dinuclear ni(i) system having a diradical ni<sub>2</sub>n<sub>2</sub> diamond core resting state: synthetic, structural, spectroscopic elucidation, and reductive bond splitting reactions",2008, 34 chemical sciences,249,28,249,4
2925,american chemical society,scientific,debashis adhikari; susanne mossin; falguni basuli; benjamin r. dible; mircea chipara; hongjun fan; john c. huffman; karsten meyer; daniel j. mindiola,"a dinuclear ni(i) system having a diradical ni<sub>2</sub>n<sub>2</sub> diamond core resting state: synthetic, structural, spectroscopic elucidation, and reductive bond splitting reactions",2008, 51 physical sciences,15,10,15,8
2926,american chemical society,scientific,galyna g. dubinina; william w. brennessel; jennifer l. miller; david a. vicic,exploring trifluoromethylation reactions at nickel: a structural and reactivity study,2008,34 chemical sciences,244,28,244,4
2927,american chemical society,scientific,galyna g. dubinina; william w. brennessel; jennifer l. miller; david a. vicic,exploring trifluoromethylation reactions at nickel: a structural and reactivity study,2008, 34 chemical sciences,249,28,249,4
2930,american chemical society,scientific,brett d. swartz; nicole m. reinartz; william w. brennessel; juventino j. garcía; william d. jones,solvent effects and activation parameters in the competitive cleavage of c−cn and c−h bonds in 2-methyl-3-butenenitrile using (dippe)nih<sub>2</sub>,2008,34 chemical sciences,244,28,244,4
2931,american chemical society,scientific,brett d. swartz; nicole m. reinartz; william w. brennessel; juventino j. garcía; william d. jones,solvent effects and activation parameters in the competitive cleavage of c−cn and c−h bonds in 2-methyl-3-butenenitrile using (dippe)nih<sub>2</sub>,2008, 34 chemical sciences,249,28,249,4
2934,public library of science,scientific,jae-hyung lee; gloria culver; susan carpenter; drena dobbs,oligonucleotide primers used in the primer extension analysis of erre,2008,31 biological sciences,148,18,148,9
2935,public library of science,scientific,jae-hyung lee; gloria culver; susan carpenter; drena dobbs,oligonucleotide primers used in the primer extension analysis of erre,2008, 32 biomedical and clinical sciences,136,16,136,12
2937,american chemical society,scientific,tülay a. ateşin; abdurrahman ç. ateşin; karlyn skugrud; william d. jones,understanding selectivity in the oxidative addition of the carbon−sulfur bonds of 2-cyanothiophene to pt(0),2008,34 chemical sciences,244,28,244,4
2938,american chemical society,scientific,tülay a. ateşin; abdurrahman ç. ateşin; karlyn skugrud; william d. jones,understanding selectivity in the oxidative addition of the carbon−sulfur bonds of 2-cyanothiophene to pt(0),2008, 34 chemical sciences,249,28,249,4
2943,american chemical society,scientific,ying yu; azwana r. sadique; jeremy m. smith; thomas r. dugan; ryan e. cowley; william w. brennessel; christine j. flaschenriem; eckhard bill; thomas r. cundari; patrick l. holland,the reactivity patterns of low-coordinate iron−hydride complexes,2008,34 chemical sciences,244,28,244,4
2944,american chemical society,scientific,ying yu; azwana r. sadique; jeremy m. smith; thomas r. dugan; ryan e. cowley; william w. brennessel; christine j. flaschenriem; eckhard bill; thomas r. cundari; patrick l. holland,the reactivity patterns of low-coordinate iron−hydride complexes,2008, 34 chemical sciences,249,28,249,4
2946,american chemical society,scientific,ryan e. cowley; jérôme elhaïk; nathan a. eckert; william w. brennessel; eckhard bill; patrick l. holland,a bridging hexazene (rnnnnnnr) ligand from reductive coupling of azides,2008,34 chemical sciences,244,28,244,4
2947,american chemical society,scientific,ryan e. cowley; jérôme elhaïk; nathan a. eckert; william w. brennessel; eckhard bill; patrick l. holland,a bridging hexazene (rnnnnnnr) ligand from reductive coupling of azides,2008, 34 chemical sciences,249,28,249,4
2949,american chemical society,scientific,alberto acosta-ramírez; marcos flores-álamo; william d. jones; juventino j. garcía,p−c bond scission at the triphos ligand and c−cn bond cleavage in 2-methyl-3-butenenitrile with ni(cod)<sub>2</sub>,2008,34 chemical sciences,244,28,244,4
2950,american chemical society,scientific,alberto acosta-ramírez; marcos flores-álamo; william d. jones; juventino j. garcía,p−c bond scission at the triphos ligand and c−cn bond cleavage in 2-methyl-3-butenenitrile with ni(cod)<sub>2</sub>,2008, 34 chemical sciences,249,28,249,4
2952,american chemical society,scientific,jacob schneider; young-a lee; javier pérez; william w. brennessel; christine flaschenriem; richard eisenberg,"strong intra- and intermolecular aurophilic interactions in a new series
of brilliantly luminescent dinuclear cationic and neutral au(i)
benzimidazolethiolate complexes",2008,34 chemical sciences,244,28,244,4
2953,american chemical society,scientific,jacob schneider; young-a lee; javier pérez; william w. brennessel; christine flaschenriem; richard eisenberg,"strong intra- and intermolecular aurophilic interactions in a new series
of brilliantly luminescent dinuclear cationic and neutral au(i)
benzimidazolethiolate complexes",2008, 34 chemical sciences,249,28,249,4
2955,american chemical society,scientific,azwana r. sadique; william w. brennessel; patrick l. holland,"reduction of co<sub>2</sub> to co using low-coordinate iron:  formation of a
four-coordinate iron dicarbonyl complex and a bridging carbonate
complex",2008,34 chemical sciences,244,28,244,4
2956,american chemical society,scientific,azwana r. sadique; william w. brennessel; patrick l. holland,"reduction of co<sub>2</sub> to co using low-coordinate iron:  formation of a
four-coordinate iron dicarbonyl complex and a bridging carbonate
complex",2008, 34 chemical sciences,249,28,249,4
2958,american chemical society,scientific,wei he; ildiko r. herrick; tulay a. atesin; patrick a. caruana; colleen a. kellenberger; alison j. frontier,"polarizing the nazarov cyclization:  the impact of dienone
substitution pattern on reactivity and selectivity",2008,34 chemical sciences,244,28,244,4
2959,american chemical society,scientific,wei he; ildiko r. herrick; tulay a. atesin; patrick a. caruana; colleen a. kellenberger; alison j. frontier,"polarizing the nazarov cyclization:  the impact of dienone
substitution pattern on reactivity and selectivity",2008, 34 chemical sciences,249,28,249,4
2961,american chemical society,scientific,wei he; jie huang; xiufeng sun; alison j. frontier,total synthesis of (±)-merrilactone a,2008,34 chemical sciences,244,28,244,4
2962,american chemical society,scientific,wei he; jie huang; xiufeng sun; alison j. frontier,total synthesis of (±)-merrilactone a,2008, 34 chemical sciences,249,28,249,4
2964,american chemical society,scientific,pingwu du; jacob schneider; william w. brennessel; richard eisenberg,"synthesis and structural characterization of a new vapochromic pt(ii)
complex based on the 1-terpyridyl-2,3,4,5,6-pentaphenylbenzene
(tpppb) ligand",2008,34 chemical sciences,244,28,244,4
2965,american chemical society,scientific,pingwu du; jacob schneider; william w. brennessel; richard eisenberg,"synthesis and structural characterization of a new vapochromic pt(ii)
complex based on the 1-terpyridyl-2,3,4,5,6-pentaphenylbenzene
(tpppb) ligand",2008, 34 chemical sciences,249,28,249,4
2982,american chemical society,scientific,chao jiang; alison j. frontier,"stereoselective synthesis of pyrrolidine
derivatives via reduction of substituted
pyrroles",2007,34 chemical sciences,244,28,244,4
2983,american chemical society,scientific,chao jiang; alison j. frontier,"stereoselective synthesis of pyrrolidine
derivatives via reduction of substituted
pyrroles",2007, 34 chemical sciences,249,28,249,4
2985,public library of science,scientific,yun tao; john p masly; luciana araripe; yeyan ke; daniel l hartl,a <em>sex-ratio</em> meiotic drive system in <em>drosophila simulans.</em> i: an autosomal suppressor,2007,31 biological sciences,148,18,148,9
2986,public library of science,scientific,yun tao; john p masly; luciana araripe; yeyan ke; daniel l hartl,a <em>sex-ratio</em> meiotic drive system in <em>drosophila simulans.</em> i: an autosomal suppressor,2007, 31 biological sciences,123,17,123,10
2988,public library of science,scientific,konrad p. körding; ulrik beierholm; wei ji ma; steven quartz; joshua b. tenenbaum; ladan shams,"maximal log likelihood ratios (base <i>e</i>) across subjects of models relative to causal inference model (mean±s.e.m., see methods for details).",2007,38 economics,9,8,9,4
2989,public library of science,scientific,konrad p. körding; ulrik beierholm; wei ji ma; steven quartz; joshua b. tenenbaum; ladan shams,"maximal log likelihood ratios (base <i>e</i>) across subjects of models relative to causal inference model (mean±s.e.m., see methods for details).",2007, 49 mathematical sciences,10,8,10,4
2992,public library of science,scientific,john p masly; daven c presgraves,high-resolution genome-wide dissection of the two rules of speciation in <em>drosophila</em>,2007,31 biological sciences,148,18,148,9
2993,public library of science,scientific,john p masly; daven c presgraves,high-resolution genome-wide dissection of the two rules of speciation in <em>drosophila</em>,2007, 31 biological sciences,123,17,123,10
2996,public library of science,scientific,arndt telschow; matthias flor; yutaka kobayashi; peter hammerstein; john h. werren,definitions of the parameters and symbols used in the model.,2007,31 biological sciences,148,18,148,9
2997,public library of science,scientific,arndt telschow; matthias flor; yutaka kobayashi; peter hammerstein; john h. werren,definitions of the parameters and symbols used in the model.,2007, 31 biological sciences,123,17,123,10
3000,american chemical society,scientific,ahmet gunay; william d. jones,"cleavage of carbon−carbon bonds of diphenylacetylene and
its derivatives via photolysis of pt complexes:  tuning the
c−c bond formation energy toward selective c−c bond
activation",2007,34 chemical sciences,244,28,244,4
3001,american chemical society,scientific,ahmet gunay; william d. jones,"cleavage of carbon−carbon bonds of diphenylacetylene and
its derivatives via photolysis of pt complexes:  tuning the
c−c bond formation energy toward selective c−c bond
activation",2007, 34 chemical sciences,249,28,249,4
3005,american chemical society,scientific,azwana r. sadique; elizabeth a. gregory; william w. brennessel; patrick l. holland,"mechanistic insight into nn cleavage by a low-coordinate
iron(ii) hydride complex",2007,34 chemical sciences,244,28,244,4
3006,american chemical society,scientific,azwana r. sadique; elizabeth a. gregory; william w. brennessel; patrick l. holland,"mechanistic insight into nn cleavage by a low-coordinate
iron(ii) hydride complex",2007, 34 chemical sciences,249,28,249,4
3008,american chemical society,scientific,jie huang; alison j. frontier,"development of a nazarov cyclization/wagner−meerwein rearrangement
sequence for the stereoselective synthesis of spirocycles",2007,34 chemical sciences,244,28,244,4
3009,american chemical society,scientific,jie huang; alison j. frontier,"development of a nazarov cyclization/wagner−meerwein rearrangement
sequence for the stereoselective synthesis of spirocycles",2007, 34 chemical sciences,249,28,249,4
3011,american chemical society,scientific,javier vela; liwei zhu; christine j. flaschenriem; william w. brennessel; rene j. lachicotte; patrick l. holland,"macrocyclic binucleating β-diketiminate ligands and their
lithium, aluminum, and zinc complexes",2007,34 chemical sciences,244,28,244,4
3012,american chemical society,scientific,javier vela; liwei zhu; christine j. flaschenriem; william w. brennessel; rene j. lachicotte; patrick l. holland,"macrocyclic binucleating β-diketiminate ligands and their
lithium, aluminum, and zinc complexes",2007, 34 chemical sciences,249,28,249,4
3014,american chemical society,scientific,pingwu du; jacob schneider; paul jarosz; jie zhang; william w. brennessel; richard eisenberg,"photoinduced electron transfer in platinum(ii) terpyridyl acetylide chromophores: 
reductive and oxidative quenching and hydrogen production<sup>†</sup>",2007,34 chemical sciences,244,28,244,4
3015,american chemical society,scientific,pingwu du; jacob schneider; paul jarosz; jie zhang; william w. brennessel; richard eisenberg,"photoinduced electron transfer in platinum(ii) terpyridyl acetylide chromophores: 
reductive and oxidative quenching and hydrogen production<sup>†</sup>",2007, 34 chemical sciences,249,28,249,4
3017,american chemical society,scientific,tülay a. ateşin; ting li; sébastien lachaize; william w. brennessel; juventino j. garcía; william d. jones,"experimental and theoretical examination of c−cn and c−h
bond activations of acetonitrile using zerovalent nickel",2007,34 chemical sciences,244,28,244,4
3018,american chemical society,scientific,tülay a. ateşin; ting li; sébastien lachaize; william w. brennessel; juventino j. garcía; william d. jones,"experimental and theoretical examination of c−cn and c−h
bond activations of acetonitrile using zerovalent nickel",2007, 34 chemical sciences,249,28,249,4
3022,public library of science,scientific,dan zhou; jin xue; jianming chen; patrick morcillo; j. david lambert; kevin p. white; gabriel g. haddad,experimental selection for <em>drosophila</em> survival in extremely low o<sub>2</sub> environment,2007,31 biological sciences,148,18,148,9
3023,public library of science,scientific,dan zhou; jin xue; jianming chen; patrick morcillo; j. david lambert; kevin p. white; gabriel g. haddad,experimental selection for <em>drosophila</em> survival in extremely low o<sub>2</sub> environment,2007, 31 biological sciences,123,17,123,10
3025,american chemical society,scientific,jianguang zhou; nabi a. magomedov,explorations on the asymmetric total synthesis of isoschizogamine,2007,34 chemical sciences,244,28,244,4
3026,american chemical society,scientific,jianguang zhou; nabi a. magomedov,explorations on the asymmetric total synthesis of isoschizogamine,2007, 34 chemical sciences,249,28,249,4
3028,american chemical society,scientific,abdurrahman ç. atesin; simon b. duckett; christine flaschenriem; william w. brennessel; richard eisenberg,"diastereoselective oxidative addition of dihydrogen to
iri(co)((<i>r</i>)-binap) and ir(co)<sub>2</sub>((<i>r</i>)-binap)sbf<sub>6</sub>",2007,34 chemical sciences,244,28,244,4
3029,american chemical society,scientific,abdurrahman ç. atesin; simon b. duckett; christine flaschenriem; william w. brennessel; richard eisenberg,"diastereoselective oxidative addition of dihydrogen to
iri(co)((<i>r</i>)-binap) and ir(co)<sub>2</sub>((<i>r</i>)-binap)sbf<sub>6</sub>",2007, 34 chemical sciences,249,28,249,4
3031,american chemical society,scientific,javier vela; jordi cirera; jeremy m. smith; rene j. lachicotte; christine j. flaschenriem; santiago alvarez; patrick l. holland,"quantitative geometric descriptions of the belt iron atoms of the
iron−molybdenum cofactor of nitrogenase and synthetic iron(ii) model
complexes",2007,34 chemical sciences,244,28,244,4
3032,american chemical society,scientific,javier vela; jordi cirera; jeremy m. smith; rene j. lachicotte; christine j. flaschenriem; santiago alvarez; patrick l. holland,"quantitative geometric descriptions of the belt iron atoms of the
iron−molybdenum cofactor of nitrogenase and synthetic iron(ii) model
complexes",2007, 34 chemical sciences,249,28,249,4
3036,icpsr,Social Science,"aguiar, mark; hurst, erik",replication data for: life-cycle prices and production,2007, 35 commerce,5,4,5,1
3037,icpsr,Social Science,"aguiar, mark; hurst, erik",replication data for: life-cycle prices and production,2007, management,9,7,9,2
3038,icpsr,Social Science,"aguiar, mark; hurst, erik",replication data for: life-cycle prices and production,2007, tourism and services,9,7,9,2
3039,icpsr,Social Science,"aguiar, mark; hurst, erik",replication data for: life-cycle prices and production,2007, 38 economics,18,12,18,4
3057,american chemical society,scientific,john a. malona; jessica m. colbourne; alison j. frontier,"a general method for the catalytic
nazarov cyclization of heteroaromatic
compounds",2006,34 chemical sciences,244,28,244,4
3058,american chemical society,scientific,john a. malona; jessica m. colbourne; alison j. frontier,"a general method for the catalytic
nazarov cyclization of heteroaromatic
compounds",2006, 34 chemical sciences,249,28,249,4
3061,american chemical society,scientific,daniel j. fox; simon b. duckett; christine flaschenriem; william w. brennessel; jacob schneider; ahmet gunay; richard eisenberg,"a model iridium hydroformylation system with the large bite angle
ligand xantphos:  reactivity with parahydrogen and implications for
hydroformylation catalysis",2006,34 chemical sciences,244,28,244,4
3062,american chemical society,scientific,daniel j. fox; simon b. duckett; christine flaschenriem; william w. brennessel; jacob schneider; ahmet gunay; richard eisenberg,"a model iridium hydroformylation system with the large bite angle
ligand xantphos:  reactivity with parahydrogen and implications for
hydroformylation catalysis",2006, 34 chemical sciences,249,28,249,4
3064,public library of science,scientific,jonathan a eisen; robert s coyne; martin wu; dongying wu; mathangi thiagarajan; jennifer r wortman; jonathan h badger; qinghu ren; paolo amedeo; kristie m jones; luke j tallon; arthur l delcher; steven l salzberg; joana c silva; brian j haas; william h majoros; maryam farzad; jane m carlton; roger k smith jr.; jyoti garg; ronald e pearlman; kathleen m karrer; lei sun; gerard manning; nels c elde; aaron p turkewitz; david j asai; david e wilkes; yufeng wang; hong cai; kathleen collins; b. andrew stewart; suzanne r lee; katarzyna wilamowska; zasha weinberg; walter l ruzzo; dorota wloga; jacek gaertig; joseph frankel; che-chia tsao; martin a gorovsky; patrick j keeling; ross f waller; nicola j patron; j. michael cherry; nicholas a stover; cynthia j krieger; christina del toro; hilary f ryder; sondra c williamson; rebecca a barbeau; eileen p hamilton; eduardo orias,"macronuclear genome sequence of the ciliate <em>tetrahymena thermophila,</em> a model eukaryote",2006,31 biological sciences,148,18,148,9
3065,public library of science,scientific,jonathan a eisen; robert s coyne; martin wu; dongying wu; mathangi thiagarajan; jennifer r wortman; jonathan h badger; qinghu ren; paolo amedeo; kristie m jones; luke j tallon; arthur l delcher; steven l salzberg; joana c silva; brian j haas; william h majoros; maryam farzad; jane m carlton; roger k smith jr.; jyoti garg; ronald e pearlman; kathleen m karrer; lei sun; gerard manning; nels c elde; aaron p turkewitz; david j asai; david e wilkes; yufeng wang; hong cai; kathleen collins; b. andrew stewart; suzanne r lee; katarzyna wilamowska; zasha weinberg; walter l ruzzo; dorota wloga; jacek gaertig; joseph frankel; che-chia tsao; martin a gorovsky; patrick j keeling; ross f waller; nicola j patron; j. michael cherry; nicholas a stover; cynthia j krieger; christina del toro; hilary f ryder; sondra c williamson; rebecca a barbeau; eileen p hamilton; eduardo orias,"macronuclear genome sequence of the ciliate <em>tetrahymena thermophila,</em> a model eukaryote",2006, 31 biological sciences,123,17,123,10
3069,american chemical society,scientific,mesfin janka; abdurrahman ç. atesin; daniel j. fox; christine flaschenriem; william w. brennessel; richard eisenberg,"highly diastereoselective oxidative addition of methyl iodide to a chiral
square-planar complex",2006,34 chemical sciences,244,28,244,4
3070,american chemical society,scientific,mesfin janka; abdurrahman ç. atesin; daniel j. fox; christine flaschenriem; william w. brennessel; richard eisenberg,"highly diastereoselective oxidative addition of methyl iodide to a chiral
square-planar complex",2006, 34 chemical sciences,249,28,249,4
3072,american chemical society,scientific,"robert k. boeckman,; pengcheng shao; stephen t. wrobleski; debra j. boehmler; geoffrey r. heintzelman; antonio. j. barbosa","toward the development of a general chiral auxiliary. a total
synthesis of (+)-tetronolide via a tandem ketene-trapping
4 + 2 cycloaddition strategy",2006,34 chemical sciences,244,28,244,4
3073,american chemical society,scientific,"robert k. boeckman,; pengcheng shao; stephen t. wrobleski; debra j. boehmler; geoffrey r. heintzelman; antonio. j. barbosa","toward the development of a general chiral auxiliary. a total
synthesis of (+)-tetronolide via a tandem ketene-trapping
4 + 2 cycloaddition strategy",2006, 34 chemical sciences,249,28,249,4
3075,american chemical society,scientific,ying yu; jeremy m. smith; christine j. flaschenriem; patrick l. holland,binding affinity of alkynes and alkenes to low-coordinate iron,2006,34 chemical sciences,244,28,244,4
3076,american chemical society,scientific,ying yu; jeremy m. smith; christine j. flaschenriem; patrick l. holland,binding affinity of alkynes and alkenes to low-coordinate iron,2006, 34 chemical sciences,249,28,249,4
3078,american chemical society,scientific,mesfin janka; wei he; inga e. haedicke; frank r. fronczek; alison j. frontier; richard eisenberg,"tandem nazarov cyclization−michael addition sequence catalyzed by an
ir(iii) complex",2006,34 chemical sciences,244,28,244,4
3079,american chemical society,scientific,mesfin janka; wei he; inga e. haedicke; frank r. fronczek; alison j. frontier; richard eisenberg,"tandem nazarov cyclization−michael addition sequence catalyzed by an
ir(iii) complex",2006, 34 chemical sciences,249,28,249,4
3081,american chemical society,scientific,jeremy m. smith; azwana r. sadique; thomas r. cundari; kenton r. rodgers; gudrun lukat-rodgers; rene j. lachicotte; christine j. flaschenriem; javier vela; patrick l. holland,studies of low-coordinate iron dinitrogen complexes,2006,34 chemical sciences,244,28,244,4
3082,american chemical society,scientific,jeremy m. smith; azwana r. sadique; thomas r. cundari; kenton r. rodgers; gudrun lukat-rodgers; rene j. lachicotte; christine j. flaschenriem; javier vela; patrick l. holland,studies of low-coordinate iron dinitrogen complexes,2006, 34 chemical sciences,249,28,249,4
3096,american chemical society,scientific,nathan a. eckert; adriana dinescu; thomas r. cundari; patrick l. holland,"a t-shaped three-coordinate nickel(i) carbonyl complex and the
geometric preferences of three-coordinate d<sup>9</sup> complexes",2005,34 chemical sciences,244,28,244,4
3097,american chemical society,scientific,nathan a. eckert; adriana dinescu; thomas r. cundari; patrick l. holland,"a t-shaped three-coordinate nickel(i) carbonyl complex and the
geometric preferences of three-coordinate d<sup>9</sup> complexes",2005, 34 chemical sciences,249,28,249,4
3099,american chemical society,scientific,andrew j. vetter; christine flaschenriem; william d. jones,"alkane coordination selectivity in hydrocarbon activation by
tp‘rh(cnneopentyl):  the role of alkane complexes",2005,34 chemical sciences,244,28,244,4
3100,american chemical society,scientific,andrew j. vetter; christine flaschenriem; william d. jones,"alkane coordination selectivity in hydrocarbon activation by
tp‘rh(cnneopentyl):  the role of alkane complexes",2005, 34 chemical sciences,249,28,249,4
3103,american chemical society,scientific,soma chakraborty; thaddeus j. wadas; heidi hester; christine flaschenreim; russell schmehl; richard eisenberg,"synthesis, structure, characterization, and photophysical studies of a
new platinum terpyridyl-based triad with covalently linked donor and
acceptor groups",2005,34 chemical sciences,244,28,244,4
3104,american chemical society,scientific,soma chakraborty; thaddeus j. wadas; heidi hester; christine flaschenreim; russell schmehl; richard eisenberg,"synthesis, structure, characterization, and photophysical studies of a
new platinum terpyridyl-based triad with covalently linked donor and
acceptor groups",2005, 34 chemical sciences,249,28,249,4
3106,american chemical society,scientific,nathan a. eckert; sebastian stoian; jeremy m. smith; emile l. bominaar; eckard münck; patrick l. holland,"synthesis, structure, and spectroscopy of an oxodiiron(ii) complex",2005,34 chemical sciences,244,28,244,4
3107,american chemical society,scientific,nathan a. eckert; sebastian stoian; jeremy m. smith; emile l. bominaar; eckard münck; patrick l. holland,"synthesis, structure, and spectroscopy of an oxodiiron(ii) complex",2005, 34 chemical sciences,249,28,249,4
3109,american chemical society,scientific,javier vela; jeremy m. smith; ying yu; nicole a. ketterer; christine j. flaschenriem; rene j. lachicotte; patrick l. holland,"synthesis and reactivity of low-coordinate iron(ii) fluoride
complexes and their use in the catalytic hydrodefluorination
of fluorocarbons",2005,34 chemical sciences,244,28,244,4
3110,american chemical society,scientific,javier vela; jeremy m. smith; ying yu; nicole a. ketterer; christine j. flaschenriem; rene j. lachicotte; patrick l. holland,"synthesis and reactivity of low-coordinate iron(ii) fluoride
complexes and their use in the catalytic hydrodefluorination
of fluorocarbons",2005, 34 chemical sciences,249,28,249,4
